beurs van(310,156)
van amsterdam(306,156)
wall street(112,107)
19 19(102,155)
15 15(88,156)
26 26(81,155)
commissie donner(72,9)
27 27(70,155)
25 25(69,156)
prins bernhard(68,72)
23 23(59,155)
28 28(55,155)
curt wr(55,36)
new york(53,155)
29 29(50,155)
lockheed affaire(49,1)
am can(48,69)
12 12(48,156)
32 32(48,155)
18 18(47,155)
36 36(46,155)
alcan al(45,28)
34 34(45,155)
33 33(44,155)
am home(44,32)
van de(43,156)
canadese fondsen(43,25)
am tel(42,90)
30 30(42,156)
co of(41,121)
am cyan(41,33)
am st(41,96)
23 am(40,81)
am motors(39,33)
acf ind(38,26)
am broadc(37,17)
22 22(37,155)
17 17(37,156)
am brands(36,26)
am el(36,54)
am nat(36,19)
39 39(36,154)
20 20(35,156)
amst ind(35,5)
can pac(35,72)
coca cola(35,68)
colt ind(35,20)
all pow(34,22)
cont can(34,45)
41 41(34,154)
den uyl(33,76)
45 45(33,155)
16 16(33,155)
col gas(33,38)
cons ed(33,37)
cont tel(33,19)
du pont(33,153)
35 35(31,155)
chase manh(31,14)
gas 25(31,26)
contr dat(31,5)
van lockheed(30,38)
25 am(30,89)
el pow(30,17)
nat res(30,20)
ampco pitt(30,7)
cat tract(30,4)
dart ind(30,12)
27 am(30,77)
24 24(29,155)
st ine(29,10)
amf ine(29,16)
armco st(29,25)
bethl st(29,49)
cont oil(29,48)
42 42(29,154)
all chem(28,36)
12 amst(28,97)
burl ind(28,21)
eastm kod(28,24)
31 31(28,155)
33 am(28,82)
over lockheed(27,1)
35 am(27,76)
ashland oil(27,32)
comm sat(27,14)
15 contr(27,14)
pow 23(27,9)
37 37(27,155)
am airl(27,13)
40 40(26,156)
atl richf(26,19)
tel 15(26,52)
epe int(26,14)
eastern air(26,23)
25 comm.w(26,3)
chrysler 19(25,9)
cities serv(25,58)
onderzoek naar(24,156)
19 ampco(24,4)
pitt 12(24,6)
asarco 15(24,5)
chessie syst(24,7)
comm.w ed(24,5)
in japan(23,155)
12 am(23,90)
ine 19(23,9)
carling o'k(23,7)
manh 28(23,1)
oil 26(23,34)
dow chem(23,35)
york stock(23,36)
15 ashland(22,5)
26 atl(22,11)
ind 26(22,11)
can 32(22,16)
21 21(22,155)
56 56(22,155)
34 am(22,81)
de prins(21,156)
36 am(21,70)
stock exchange(21,103)
26 am(20,80)
29 asa(20,7)
26 burl(20,10)
19 citicorp(20,8)
28 27(20,155)
28 29(19,156)
26 27(19,156)
43 43(19,153)
14 14(19,156)
54 54(19,154)
30 cities(19,12)
19 cons(19,32)
home 33(19,4)
ind 34(19,24)
vrije volk(18,106)
asa 15(18,1)
28 chessie(18,3)
citicorp 30(18,3)
13 13(18,156)
44 44(18,155)
ed 19(18,6)
en japanse(18,66)
amerikaanse canadese(18,29)
canadese en(18,55)
het vrije(17,156)
den haag(17,156)
15 asarco(17,1)
19 curt(17,11)
ind 32(17,15)
37 am(17,75)
st 29(17,85)
38 38(17,155)
japanse aandelen(17,21)
in de(16,156)
32 cont(16,23)
38 37(16,150)
27 28(16,156)
27 26(16,151)
cr zellerb(16,2)
amerada 23(16,8)
39 am(16,72)
29 cont(16,20)
30 29(15,153)
36 all(15,13)
brands 41(15,17)
al co(15,72)
japanse indonesische(15,9)
commissie van(14,156)
van onze(14,156)
22 am(14,84)
33 cont(14,23)
15 curt(14,8)
41 42(14,155)
32 33(14,155)
60 60(14,156)
42 am(14,78)
delmonte 28(14,4)
23 epe(14,9)
pac 17(14,16)
indonesische aandelen(14,18)
aandelen enz(14,19)
de lockheed(13,61)
van drie(13,156)
van prins(13,156)
29 30(13,156)
16 alcan(13,7)
can 33(13,16)
60 ampex(13,5)
rapport donner(13,1)
pow 19(13,8)
34 akzona(13,6)
29 28(13,149)
in vs(12,129)
al 24(12,95)
20 all(12,40)
53 53(12,154)
broadc 35(12,1)
45 anaconda(12,27)
dat 22(12,117)
55 55(12,155)
36 35(12,153)
59 ampex(12,4)
37 boeing(12,11)
43 44(12,156)
22 23(12,156)
42 41(12,151)
36 chrysler(12,33)
41 am(12,80)
31 comm(12,23)
dat 23(12,116)
voor prins(11,154)
de commissie(11,156)
amax 53(11,5)
27 cons(11,39)
ed 18(11,6)
int 43(11,16)
15 16(11,156)
59 59(11,150)
56 coca(11,3)
18 19(11,156)
35 36(11,155)
35 34(11,154)
23 24(11,156)
20 19(11,154)
st 37(11,70)
